loan_id,borrower_id,borrower_name,state,origination_date,maturity_date,original_principal,current_balance,interest_rate,payment_status,days_past_due,last_updated_at,document_status
LN-0001,BR-0001,Sarah Thompson,MS,2023-10-13,2038-10-09,374281.55,224231.04,11.1,current,0,2026-08-23,unknown
LN-0002,BR-0002,Donna Hill,ND,2022-11-07,2042-11-02,438113.92,354613.42,10.9,delinquent,62,2026-06-18,unknown
LN-0003,BR-0003,Steven Martin,IL,2023-01-31,2038-01-27,198755.94,128952.43,9.43,current,0,2026-07-20,unknown
LN-0004,BR-0004,Andrew Martinez,WI,2024-06-13,2039-06-10,303819.64,167464.19,8.94,current,0,2026-08-17,unknown
LN-0005,BR-0005,Kimberly Johnson,PA,2024-07-20,2044-07-15,290963.77,165078.86,5.34,current,0,2026-06-06,unknown
LN-0006,BR-0006,John Smith,OH,2025-04-29,2050-04-23,283887.44,155797.21,7.35,current,0,2026-06-15,unknown
LN-0007,BR-0007,Steven Lopez,CA,2026-01-10,2051-01-04,106539.21,76340.78,4.24,current,0,2026-08-14,unknown
LN-0008,BR-0008,Ashley Ramirez,VA,2025-05-05,2055-04-28,344617,294770.97,4.33,current,0,2026-07-14,unknown
LN-0009,BR-0009,Matthew Jackson,OR,2026-03-02,2046-02-25,232035.75,134808.43,11.39,current,0,2026-08-11,unknown
LN-0010,BR-0010,Joshua Miller,AL,2024-09-14,2049-09-08,323424.26,244179.52,10.52,current,0,2026-08-10,unknown
LN-0011,BR-0011,William Davis,ID,2024-10-03,2039-09-30,201135.89,97200.83,9.69,current,0,2026-08-03,unknown
LN-0012,BR-0012,Anthony Lopez,KY,2025-10-20,2055-10-13,148888.28,113856.42,11.31,current,0,2026-07-17,unknown
LN-0013,BR-0013,David Johnson,CA,2025-07-04,2045-06-29,376060.76,197573.03,9.28,delinquent,60,2026-06-26,unknown
LN-0014,BR-0014,Donna Smith,PA,2025-12-02,2055-11-25,299704.44,222697.36,8.28,current,0,2026-07-06,unknown
